run,eps,tl,tu,post_processing,duration,unique_size,acc_size,hausdorff
4,1.5,0,1,post_uniform,0.05336594581604004,118,1345.245840382317,55.78612272847891
5,1.5,0,1,post_uniform,0.06441879272460938,84,962.9902144907971,57.045978343112225
6,1.5,0,1,post_uniform,0.054514408111572266,109,1202.604775319578,66.0991300290076
7,1.5,0,1,post_uniform,0.0601506233215332,123,1347.6145868541312,71.20078142670911
8,1.5,0,1,post_uniform,0.05029153823852539,124,1383.895185611624,46.34767515137028
1,1.5,0,2,post_centroid,0.060649871826171875,70,1087.7390013442227,84.81671113153551
2,1.5,0,2,post_centroid,0.07028436660766602,105,1638.3748633881485,70.45845063649247
3,1.5,0,2,post_centroid,0.12717366218566895,101,1602.1724384501458,84.30490535668642
4,1.5,0,2,post_centroid,0.07377743721008301,66,1029.0232426067423,67.32983815822374
5,1.5,0,2,post_centroid,0.10026383399963379,109,1709.5582846733655,70.74530184692149
6,1.5,0,2,post_centroid,0.08950567245483398,65,1019.6807850393241,76.30540384084627
7,1.5,0,2,post_centroid,0.08799552917480469,77,1174.3069716734024,80.71602089840995
8,1.5,0,2,post_centroid,0.1081840991973877,130,2021.7974231648673,60.98604752997757
1,1.5,0,2,post_uniform,0.07657337188720703,94,1465.318432064939,71.84948442593691
2,1.5,0,2,post_uniform,0.07147622108459473,81,1209.5487931912903,78.25195897819468
3,1.5,0,2,post_uniform,0.0978403091430664,86,1280.2861882989066,75.56302606559905
4,1.5,0,2,post_uniform,0.07146000862121582,37,566.2423501966654,83.71801725592853
5,1.5,0,2,post_uniform,0.13909077644348145,84,1299.581895273075,71.63594876669015
6,1.5,0,2,post_uniform,0.11716413497924805,92,1395.3551667105014,71.27662570622562
7,1.5,0,2,post_uniform,0.07864761352539062,86,1367.6272637613822,79.86266490900626
8,1.5,0,2,post_uniform,0.18454813957214355,66,1044.2425743723873,72.01021070390564
1,1.5,0,3,post_centroid,0.09159660339355469,33,710.3035671713172,100.9757791531698
2,1.5,0,3,post_centroid,0.07244753837585449,52,1192.690779095238,89.11399388886036
